Ratio,Ust,Power,Time,_
10,10,1000,10,8.191042835
10,20,1000,10,9.164873261
10,30,1000,10,11.73945238
1,10,1000,10,12.49391467
1,20,1000,10,13.5439672
1,30,1000,10,13.87893294
0.1,10,1000,10,14.79625371
0.1,20,1000,10,14.90333948
0.1,30,1000,10,16.77709174
10,10,1000,15,21.50100522
10,20,1000,15,21.73255823
10,30,1000,15,21.75867685
1,20,1000,15,21.76208003
1,30,1000,15,22.1390169
0.1,10,1000,15,22.25711382
0.1,20,1000,15,22.27555237
0.1,30,1000,15,22.32705379
10,10,1250,10,22.43304882
10,20,1250,10,22.60563037
10,30,1250,10,22.96512922
1,10,1250,10,23.40439696
1,20,1250,10,23.43457123
1,30,1250,10,25.02543195
0.1,10,1250,10,25.47294006
0.1,20,1250,10,25.89443846
0.1,30,1250,10,26.57165845
10,10,1250,15,26.87009236
10,20,1250,15,27.32387861
10,30,1250,15,27.33493007
1,10,1250,15,27.5059134
1,20,1250,15,28.27584651
1,30,1250,15,29.90183922
10,10,1500,10,33.76581824
10,20,1500,10,34.27340878
10,30,1500,10,34.93073598
1,10,1500,10,38.03613464
1,20,1500,10,38.75686976
1,30,1500,10,39.6535337
0.1,10,1500,10,41.50299985
0.1,20,1500,10,41.87302319
0.1,30,1500,10,42.18900111
10,10,1500,15,42.53589169
10,20,1500,15,45.47943856
10,30,1500,15,46.08298264
1,10,1500,15,46.82241368
1,20,1500,15,47.40181039
1,30,1500,15,48.56999424
0.1,10,1500,15,55.31472024
0.1,20,1500,15,58.40039122
0.1,30,1500,15,59.6165908
